id(a),a.type,a.tag,b.timestamp,b.type,id(c),c.type,c.tag
513,process,attack,1620662267.000,File_System,506,file,attack
513,process,attack,1620657299.000,Process_Create,596,process,attack
513,process,attack,1620657295.000,Process_Create,605,process,attack
513,process,attack,1620662265.000,Process_Create,515,process,attack
513,process,attack,1620657937.000,Process_Create,571,process,attack
513,process,attack,1620657299.000,Process_Create,591,process,attack
513,process,attack,1620657301.000,Process_Create,589,process,attack
513,process,attack,1620657292.000,Process_Create,606,process,attack
513,process,attack,1620660546.000,Process_Create,522,process,attack
513,process,attack,1620657298.000,Process_Create,598,process,attack
513,process,attack,1620657297.000,Process_Create,599,process,attack
513,process,attack,1620657297.000,Process_Create,601,process,attack
513,process,attack,1620657659.000,Process_Create,578,process,attack
513,process,attack,1620657299.000,Process_Create,590,process,attack
513,process,attack,1620657299.000,Process_Create,594,process,attack
513,process,attack,1620657297.000,Process_Create,602,process,attack
513,process,attack,1620657299.000,Process_Create,595,process,attack
513,process,attack,1620657636.000,Process_Create,564,process,attack
513,process,attack,1620660321.000,Process_Create,524,process,attack
513,process,attack,1620657301.000,Process_Create,585,process,attack
513,process,attack,1620662253.000,Process_Create,516,process,attack
513,process,attack,1620657885.000,Process_Create,574,process,attack
513,process,attack,1620658555.000,Process_Create,570,process,attack
513,process,attack,1620657397.000,Process_Create,584,process,attack
513,process,attack,1620657299.000,Process_Create,593,process,attack
513,process,attack,1620657454.000,Process_Create,582,process,attack
513,process,attack,1620662320.000,Process_Create,514,process,attack
513,process,attack,1620657301.000,Process_Create,587,process,attack
513,process,attack,1620657296.000,Process_Create,604,process,attack
513,process,attack,1620657425.000,Process_Create,583,process,attack
513,process,attack,1620657301.000,Process_Create,588,process,attack
513,process,attack,1620657297.000,Process_Create,603,process,attack
513,process,attack,1620657301.000,Registry_object_added_or_deleted,728,TargetObject,attack
513,process,attack,1620657301.000,Registry_value_set,768,TargetObject,attack
513,process,attack,1620660321.000,Registry_value_set,740,TargetObject,attack
513,process,attack,1620660539.000,Registry_value_set,737,TargetObject,attack
513,process,attack,1620662267.000,Registry_value_set,729,TargetObject,attack
513,process,attack,1620662266.000,Registry_value_set,734,TargetObject,attack
513,process,attack,1620658553.000,Registry_value_set,741,TargetObject,attack
513,process,attack,1620657401.000,Registry_value_set,760,TargetObject,attack
513,process,attack,1620657410.000,Registry_value_set,757,TargetObject,attack
513,process,attack,1620657300.000,Registry_value_set,771,TargetObject,attack
513,process,attack,1620657937.000,Registry_value_set,743,TargetObject,attack
513,process,attack,1620657302.000,Registry_value_set,767,TargetObject,attack
513,process,attack,1620657443.000,Registry_value_set,750,TargetObject,attack
513,process,attack,1620657292.000,Registry_value_set,779,TargetObject,attack
513,process,attack,1620657601.000,Registry_value_set,749,TargetObject,attack
513,process,attack,1620657398.000,Registry_value_set,764,TargetObject,attack
513,process,attack,1620657400.000,Registry_value_set,762,TargetObject,attack
513,process,attack,1620662266.000,Registry_value_set,733,TargetObject,attack
513,process,attack,1620657442.000,Registry_value_set,751,TargetObject,attack
513,process,attack,1620657306.000,Registry_value_set,766,TargetObject,attack
513,process,attack,1620660321.000,Registry_value_set,739,TargetObject,attack
